# Time in Gyr = 0.000
#        num          x          y           z          vx           vy           vz
      0.000       8.000       0.000       0.000       0.000     224.963       0.000
      1.000       7.300       0.550       0.062       0.107     224.962       0.012
      2.000       8.087      -0.093       0.525       0.055     224.844      -0.078
      3.000       7.315      -0.001       0.219      -0.043     225.142      -0.100
      4.000       8.288       0.107      -0.474       0.056     224.853      -0.050
      5.000       7.471       0.449       0.218       0.111     225.036       0.091
      6.000       8.032      -0.108       0.061      -0.142     225.000      -0.038
      7.000       7.826      -0.265      -0.262      -0.077     224.989      -0.238
      8.000       8.018      -0.270       0.207      -0.063     225.025      -0.073
      9.000       7.221       0.551      -0.596      -0.037     224.872      -0.080
     10.000       7.346      -0.383      -0.466       0.101     225.011      -0.060
     11.000       8.775      -0.484       1.386      -0.018     224.988       0.033
     12.000       7.876      -0.125      -0.252       0.117     225.055      -0.038
     13.000       7.703      -0.282      -0.129      -0.016     224.951       0.103
     14.000       8.172      -0.020      -0.386       0.085     225.001      -0.113
     15.000       8.245       0.189       0.227      -0.045     224.911       0.057
     16.000       7.649      -0.064       0.673       0.070     224.914       0.003
     17.000       8.146       0.346      -0.102      -0.008     224.990      -0.028
     18.000       8.335       0.666       0.045      -0.032     224.902       0.072
     19.000       7.829      -0.577       0.012      -0.056     224.932       0.023
     20.000       7.430       0.521      -0.920      -0.050     224.890      -0.055
     21.000       7.686       0.196      -0.202      -0.055     225.119      -0.150
     22.000       8.308       0.088       0.557       0.097     224.856       0.137
     23.000       8.052      -0.901       0.291       0.030     224.902       0.213
     24.000       8.115      -0.679      -0.903       0.189     224.922       0.033
     25.000       9.230       0.340       0.163      -0.017     225.058       0.028
     26.000       7.604      -0.100      -0.409       0.090     224.877       0.111
     27.000       8.716       0.060       0.262       0.073     224.901       0.090
     28.000       7.914      -0.248      -0.572       0.053     225.097      -0.148
     29.000       8.206       0.278       0.525      -0.101     224.865       0.056
     30.000       6.980       0.223       0.178      -0.017     224.954       0.051
     31.000       8.053      -0.715       0.104       0.120     224.979      -0.167
     32.000       8.714      -0.647       0.605       0.044     224.985       0.100
     33.000       8.097      -0.343      -1.071      -0.136     224.948      -0.071
     34.000       7.826       0.127      -0.488       0.046     225.086      -0.121
     35.000       8.595       0.065      -0.106       0.125     224.905       0.019
     36.000       7.466       0.152      -0.353       0.071     224.882      -0.122
     37.000       8.416       0.008      -0.065       0.042     224.978       0.122
     38.000       7.680      -0.028      -0.155      -0.167     224.955      -0.014
     39.000       7.665       0.130       0.091      -0.028     224.940       0.063
     40.000       7.551      -0.219      -0.565      -0.028     225.053       0.163
     41.000       8.675       0.073       0.247       0.129     224.977      -0.094
     42.000       8.833      -0.312       0.596      -0.002     224.955      -0.018
     43.000       7.719      -0.076       0.441      -0.199     224.841      -0.064
     44.000       7.629      -0.537       0.348       0.086     224.731      -0.130
     45.000       7.357       0.134       0.258       0.017     224.987      -0.025
     46.000       7.078       0.090       0.465       0.097     224.863       0.084
     47.000       6.785       0.770       0.456      -0.143     225.099      -0.054
     48.000       7.788      -0.127      -0.083       0.312     224.960      -0.057
     49.000       8.238       0.483      -0.147       0.014     224.942       0.090
