# Time in Gyr = 0.830
#        num          x          y           z          vx           vy           vz
      0.000      -1.052      -7.934       0.000     223.008     -29.598       0.000
      1.000       3.836       5.805      -0.060    -202.950     121.057       0.607
      2.000      -5.017      -6.417      -0.447     177.770    -135.041      13.644
      3.000       4.322       5.870       0.025    -181.638     134.629     -13.640
      4.000      -7.809      -2.800       0.472      79.134    -210.226       2.908
      5.000       7.475       1.260       0.217     -49.630     216.629       2.633
      6.000      -0.867      -7.974      -0.055     224.207     -21.302       1.220
      7.000       3.645      -6.757       0.244     200.090     112.066       5.170
      8.000      -1.008      -7.950      -0.110     224.469     -20.848      -9.652
      9.000       5.398       4.541       0.514    -160.485     165.693      15.449
     10.000       6.441       3.746       0.402    -101.358     197.770     -12.566
     11.000       3.881       7.957       1.337    -193.686     111.648     -13.912
     12.000       2.640      -7.367       0.209     212.608      78.244       7.692
     13.000       6.636      -3.493      -0.106     109.136     203.526      -4.194
     14.000      -5.905      -5.724      -0.025     157.640    -158.683     -20.069
     15.000      -6.128      -5.390       0.222     149.524    -171.117      -2.221
     16.000       5.022      -5.820       0.293     170.269     145.096      31.876
     17.000      -3.469      -7.252       0.069     202.342    -105.262       3.971
     18.000      -7.521      -2.508       0.030      77.331    -223.480      -2.069
     19.000       4.010      -6.304       0.005     194.725     133.016       0.743
     20.000       7.117      -3.580       0.463      91.927     188.389     -39.566
     21.000       6.552      -4.315       0.023     121.240     184.189     -11.596
     22.000      -8.363      -0.819      -0.128      26.754    -220.822     -26.417
     23.000      -4.044      -7.253       0.267     202.004     -85.439      -6.937
     24.000      -8.539      -1.985      -0.952      56.770    -200.529      -3.073
     25.000       5.642       7.774       0.142    -169.752     134.394      -3.984
     26.000       7.149      -2.509       0.337      76.186     212.442      12.552
     27.000      -5.982       6.700      -0.243    -161.693    -146.507      -5.294
     28.000      -0.928      -7.844       0.190     224.535     -21.095     -28.063
     29.000      -6.666      -4.570      -0.514     129.199    -188.202      -3.213
     30.000      -5.450       4.330       0.110    -146.136    -172.139       9.308
     31.000      -3.361      -7.494      -0.097     209.171     -72.660      -2.159
     32.000      -4.672       7.704       0.426    -194.402     -99.042      19.789
     33.000      -8.529      -1.031      -0.501      35.585    -209.205     -41.774
     34.000       1.765      -7.700      -0.439     218.232      46.128     -11.505
     35.000      -7.991       3.588      -0.046     -87.326    -202.688      -4.844
     36.000       7.433       1.119       0.168     -37.155     220.303     -17.935
     37.000      -8.254      -2.019      -0.051      55.709    -215.734       2.187
     38.000       7.414      -1.911      -0.142      56.709     218.341      -3.527
     39.000       7.522      -1.815       0.091      50.212     217.124      -1.293
     40.000       7.026      -2.620      -0.395      85.052     210.119      21.539
     41.000      -6.528       6.092      -0.252    -147.399    -161.424      -0.631
     42.000      -1.700       8.897       0.039    -217.385     -31.316      26.833
     43.000       5.298      -5.595       0.176     164.807     153.736     -22.069
     44.000       6.661      -2.961      -0.335     101.517     212.250       0.382
     45.000       5.105       5.185       0.209    -164.079     157.622      -8.934
     46.000      -0.588       6.985       0.437    -226.409     -18.239       8.417
     47.000      -6.662       2.318      -0.229     -91.242    -197.429     -24.761
     48.000       5.325      -5.584      -0.046     163.961     157.249      -4.082
     49.000      -6.071      -5.158      -0.076     146.990    -180.329       6.875
     50.000      -3.444      -7.236       0.052     201.920    -101.171     -24.417
     51.000       7.143      -1.641       0.273      62.229     225.035     -10.009
     52.000       6.621      -3.592       0.224     110.605     199.708      -9.553
     53.000      -6.623      -5.128      -0.539     140.021    -169.090       1.314
     54.000       6.390      -5.519      -0.052     135.095     151.899      22.097
     55.000      -5.636      -5.338       0.498     154.342    -178.432      -3.719
     56.000      -8.626       2.307      -0.754     -54.952    -203.446     -11.597
     57.000       6.945      -4.070      -0.044     107.143     186.372      -0.111
     58.000       5.062      -6.147       0.001     171.557     137.081      21.161
     59.000      -8.374       0.304       0.119      -1.210    -227.000       5.345
     60.000      -6.876      -4.830      -0.310     130.473    -177.599      15.498
     61.000      -8.373       2.414      -0.099     -56.817    -211.701     -21.807
     62.000       4.492       5.646      -0.280    -180.131     139.768       5.276
     63.000       7.082      -3.790      -0.031      99.035     190.962       0.027
     64.000      -5.845       6.557      -1.215    -150.051    -153.714     -12.296
     65.000      -6.218      -4.812      -0.081     137.881    -185.461     -35.865
     66.000      -3.957      -6.951       0.299     194.741    -119.995       9.033
     67.000      -7.826      -2.167      -0.437      65.296    -219.982      -9.881
     68.000       7.304       1.238       0.182     -28.201     227.110      -1.871
     69.000      -3.387      -7.096      -0.381     197.345    -109.704      41.467
     70.000       4.079       5.640       0.145    -195.532     127.873      23.797
     71.000       5.578       4.437       0.035    -158.818     170.195       1.144
     72.000       7.293       1.625      -0.116     -38.558     220.067     -32.241
     73.000      -4.528      -6.426      -0.794     180.543    -136.065      26.989
     74.000      -2.708       8.899       0.127    -202.815     -66.489     -13.451
     75.000      -7.977      -3.226      -0.174      86.950    -194.938      32.087
     76.000       0.058       9.062       0.386    -221.364       8.639       1.627
     77.000      -9.005       0.600      -0.039     -18.301    -210.167     -10.856
     78.000       0.915      -7.788       0.643     222.117      19.267     -15.741
     79.000      -3.214      -7.285       0.580     208.359     -82.664      22.794
     80.000       5.874      -5.904      -0.048     152.869     143.849      -3.979
     81.000       7.136       2.002       0.008     -55.710     220.738       0.711
     82.000      -7.913      -3.966       0.115     102.163    -182.606      14.824
     83.000       6.326       3.533      -0.242    -127.211     189.949     -11.229
     84.000       1.600      -7.539      -0.057     223.282      59.366       4.796
     85.000       6.674      -3.450      -0.592     106.298     198.784     -19.473
     86.000       7.002       2.561      -0.289     -70.111     209.452      33.721
     87.000       2.418      -7.388      -0.172     215.319      75.561       3.058
     88.000       7.038      -3.620      -0.044      98.562     195.591       0.142
     89.000       6.632      -3.973      -0.406     113.000     188.098     -31.879
     90.000       7.860      -1.880       0.367      35.291     207.387      -4.089
     91.000      -7.503       4.662      -0.554    -110.024    -186.177     -21.291
     92.000      -7.670      -3.736       0.507     100.712    -191.435       0.013
     93.000      -7.833      -1.681      -0.334      52.242    -225.158      28.665
     94.000      -7.423      -3.819       0.061     105.527    -193.806     -33.445
     95.000       7.554      -2.388      -0.035      59.126     207.826      14.168
     96.000      -6.215       6.453      -0.001    -154.990    -154.497       2.364
     97.000       2.656      -7.736       0.209     209.553      56.745       7.736
     98.000      -3.161      -7.365      -0.075     205.649    -100.374      -3.931
     99.000      -8.105       0.037      -0.728       4.204    -223.198      47.632
